freqs [eV],Lambda [1/ps]
1.040000,2.215288
1.042500,2.206686
1.045000,2.210428
1.047500,2.223082
1.050000,2.239606
1.052500,2.254856
1.055000,2.265014
1.057500,2.268480
1.060000,2.265980
1.062500,2.259942
1.065000,2.253435
1.067500,2.249066
1.070000,2.248211
1.072500,2.250728
1.075000,2.255202
1.077500,2.259565
1.080000,2.261892
1.082500,2.261088
1.085000,2.257222
1.087500,2.251373
1.090000,2.245048
1.092500,2.239418
1.095000,2.234730
1.097500,2.230169
1.100000,2.224269
1.102500,2.215681
1.105000,2.203979
1.107500,2.190099
1.110000,2.176213
1.112500,2.165064
1.115000,2.159066
1.117500,2.159552
1.120000,2.166486
1.122500,2.178684
1.125000,2.194331
1.127500,2.211457
1.130000,2.228138
1.132500,2.242384
1.135000,2.251952
1.137500,2.254351
1.140000,2.247231
1.142500,2.229087
1.145000,2.200019
1.147500,2.162169
1.150000,2.119581
1.152500,2.077429
1.155000,2.040833
1.157500,2.013659
1.160000,1.997724
1.162500,1.992689
1.165000,1.996655
1.167500,2.007197
1.170000,2.022380
1.172500,2.041345
1.175000,2.064232
1.177500,2.091531
1.180000,2.123243
1.182500,2.158308
1.185000,2.194624
1.187500,2.229678
1.190000,2.261441
1.192500,2.289072
1.195000,2.313038
1.197500,2.334587
1.200000,2.354853
1.202500,2.374030
1.205000,2.391040
1.207500,2.403817
1.210000,2.410086
1.212500,2.408300
1.215000,2.398351
1.217500,2.381777
1.220000,2.361374
1.222500,2.340286
1.225000,2.320867
1.227500,2.303685
1.230000,2.287102
1.232500,2.267667
1.235000,2.241340
1.237500,2.205181
1.240000,2.158896
1.242500,2.105606
1.245000,2.051445
1.247500,2.004072
1.250000,1.970630
1.252500,1.955914
1.255000,1.961387
1.257500,1.985270
1.260000,2.023444
1.262500,2.070650
1.265000,2.121497
1.267500,2.171108
1.270000,2.215539
1.272500,2.252164
1.275000,2.280093
1.277500,2.300383
1.280000,2.315743
1.282500,2.329588
1.285000,2.344687
1.287500,2.361971
1.290000,2.380073
1.292500,2.395861
1.295000,2.405708
1.297500,2.406891
1.300000,2.398453
1.302500,2.381213
1.305000,2.357063
1.307500,2.328038
1.310000,2.295689
1.312500,2.260985
1.315000,2.224658
1.317500,2.187607
1.320000,2.151075
1.322500,2.116499
1.325000,2.085199
1.327500,2.058131
1.330000,2.035872
1.332500,2.018756
1.335000,2.007022
1.337500,2.000833
1.340000,2.000174
1.342500,2.004748
1.345000,2.013998
1.347500,2.027282
1.350000,2.044085
1.352500,2.064114
1.355000,2.087164
1.357500,2.112796
1.360000,2.139989
1.362500,2.166970
1.365000,2.191363
1.367500,2.210649
1.370000,2.222780
1.372500,2.226708
1.375000,2.222581
1.377500,2.211531
1.380000,2.195134
1.382500,2.174793
1.385000,2.151344
1.387500,2.125033
1.390000,2.095822
1.392500,2.063815
1.395000,2.029581
1.397500,1.994226
1.400000,1.959297
1.402500,1.926632
1.405000,1.898272
1.407500,1.876402
1.410000,1.863194
1.412500,1.860439
1.415000,1.868996
1.417500,1.888257
1.420000,1.915903
1.422500,1.948146
1.425000,1.980427
1.427500,2.008366
1.430000,2.028644
1.432500,2.039560
1.435000,2.041186
1.437500,2.035175
1.440000,2.024338
1.442500,2.012123
1.445000,2.002038
1.447500,1.997064
1.450000,1.999109
1.452500,2.008585
1.455000,2.024242
1.457500,2.043330
1.460000,2.062107
1.462500,2.076639
1.465000,2.083732
1.467500,2.081815
1.470000,2.071536
1.472500,2.055890
1.475000,2.039770
1.477500,2.028968
1.480000,2.028853
1.482500,2.043045
1.485000,2.072473
1.487500,2.115098
1.490000,2.166410
1.492500,2.220568
1.495000,2.271861
1.497500,2.316046
1.500000,2.351151
1.502500,2.377483
1.505000,2.396882
1.507500,2.411485
1.510000,2.422495
1.512500,2.429406
1.515000,2.429970
1.517500,2.420893
1.520000,2.399018
1.522500,2.362603
1.525000,2.312295
1.527500,2.251523
1.530000,2.186172
1.532500,2.123588
1.535000,2.071112
1.537500,2.034511
1.540000,2.016712
1.542500,2.017196
1.545000,2.032226
1.547500,2.055831
1.550000,2.081232
1.552500,2.102345
1.555000,2.114988
1.557500,2.117600
1.560000,2.111402
1.562500,2.100043
1.565000,2.088791
1.567500,2.083419
1.570000,2.088941
1.572500,2.108476
1.575000,2.142497
1.577500,2.188681
1.580000,2.242400
1.582500,2.297719
1.585000,2.348603
1.587500,2.390005
1.590000,2.418592
1.592500,2.432999
1.595000,2.433676
1.597500,2.422468
1.600000,2.402109
1.602500,2.375720
1.605000,2.346375
1.607500,2.316740
1.610000,2.288830
1.612500,2.263917
1.615000,2.242654
1.617500,2.225389
1.620000,2.212551
1.622500,2.204929
1.625000,2.203671
1.627500,2.209948
1.630000,2.224427
1.632500,2.246767
1.635000,2.275409
1.637500,2.307765
1.640000,2.340772
1.642500,2.371573
1.645000,2.398083
1.647500,2.419243
1.650000,2.434947
1.652500,2.445743
1.655000,2.452488
1.657500,2.456063
1.660000,2.457215
1.662500,2.456470
1.665000,2.454098
1.667500,2.450123
1.670000,2.444414
1.672500,2.436851
1.675000,2.427504
1.677500,2.416723
1.680000,2.405090
1.682500,2.393244
1.685000,2.381728
1.687500,2.370936
1.690000,2.361185
1.692500,2.352829
1.695000,2.346270
1.697500,2.341831
1.700000,2.339541
1.702500,2.338950
1.705000,2.339107
1.707500,2.338706
1.710000,2.336374
1.712500,2.330996
1.715000,2.322003
1.717500,2.309560
1.720000,2.294568
1.722500,2.278445
1.725000,2.262712
1.727500,2.248513
1.730000,2.236305
1.732500,2.225899
1.735000,2.216914
1.737500,2.209447
1.740000,2.204633
1.742500,2.204748
1.745000,2.212729
1.747500,2.231230
1.750000,2.261572
1.752500,2.302968
1.755000,2.352330
1.757500,2.404733
1.760000,2.454380
1.762500,2.495839
1.765000,2.525204
1.767500,2.540955
1.770000,2.544296
1.772500,2.538895
1.775000,2.530029
1.777500,2.523250
1.780000,2.522908
1.782500,2.530919
1.785000,2.546259
1.787500,2.565411
1.790000,2.583710
1.792500,2.597088
1.795000,2.603559
1.797500,2.603831
1.800000,2.600802
1.802500,2.598191
1.805000,2.598904
1.807500,2.603813
1.810000,2.611398
1.812500,2.618310
1.815000,2.620554
1.817500,2.614805
1.820000,2.599387
1.822500,2.574691
1.825000,2.542991
1.827500,2.507875
1.830000,2.473505
1.832500,2.443949
1.835000,2.422655
1.837500,2.412116
1.840000,2.413666
1.842500,2.427401
1.845000,2.452195
1.847500,2.485863
1.850000,2.525472
1.852500,2.567796
1.855000,2.609849
1.857500,2.649375
1.860000,2.685157
1.862500,2.717045
1.865000,2.745660
1.867500,2.771858
1.870000,2.796089
1.872500,2.817876
1.875000,2.835594
1.877500,2.846674
1.880000,2.848203
1.882500,2.837735
1.885000,2.814054
1.887500,2.777634
1.890000,2.730697
1.892500,2.676923
1.895000,2.620983
1.897500,2.568061
1.900000,2.523395
1.902500,2.491784
1.905000,2.476987
1.907500,2.481021
1.910000,2.503520
1.912500,2.541400
1.915000,2.589046
1.917500,2.639095
1.920000,2.683706
1.922500,2.716031
1.925000,2.731554
1.927500,2.728955
1.930000,2.710270
1.932500,2.680295
1.935000,2.645341
1.937500,2.611658
1.940000,2.583997
1.942500,2.564714
1.945000,2.553709
1.947500,2.549167
1.950000,2.548755
1.952500,2.550776
1.955000,2.554806
1.957500,2.561617
1.960000,2.572509
1.962500,2.588435
1.965000,2.609343
1.967500,2.634001
1.970000,2.660291
1.972500,2.685775
1.975000,2.708236
1.977500,2.725996
1.980000,2.737960
1.982500,2.743502
1.985000,2.742353
1.987500,2.734648
1.990000,2.721123
1.992500,2.703380
1.995000,2.684012
1.997500,2.666420
2.000000,2.654260
