No of components        3
Discretization length in eV   0.0100
Number of Bins      201
Excitation energy in eV   Re(Coupling element)   Im(Coupling element) in 1/ps
============================================================================
Friction component for    1   1
   0.100000E+000       -0.963437E-001   0.727143E-001
   0.110000E+000       -0.566006E-001   0.835896E-002
   0.120000E+000        0.518268E-001  -0.833349E-002
   0.130000E+000        0.160461E+000   0.223306E-001
   0.140000E+000        0.154630E+000   0.549758E-001
   0.150000E+000        0.955244E-001   0.737035E-001
   0.160000E+000        0.679249E-001   0.140147E+000
   0.170000E+000        0.468935E-001   0.218322E+000
   0.180000E+000        0.482177E-001   0.234346E+000
   0.190000E+000       -0.778285E-002   0.171494E+000
   0.200000E+000       -0.904363E-001   0.563419E-001
   0.210000E+000       -0.115545E+000  -0.389217E-001
   0.220000E+000       -0.143776E+000  -0.527377E-001
   0.230000E+000       -0.999720E-001  -0.249754E-001
   0.240000E+000       -0.335983E-002   0.300336E-001
   0.250000E+000        0.110013E-001   0.955951E-001
   0.260000E+000        0.868857E-002   0.106727E+000
   0.270000E+000       -0.249289E-001   0.105518E+000
   0.280000E+000       -0.202951E+000   0.104351E+000
   0.290000E+000       -0.254815E+000   0.729184E-001
   0.300000E+000        0.224590E-001   0.518175E-001
   0.310000E+000        0.200217E+000   0.603636E-001
   0.320000E+000        0.165078E+000   0.594207E-001
   0.330000E+000        0.241264E+000   0.639420E-001
   0.340000E+000        0.323413E+000   0.631955E-001
   0.350000E+000        0.119966E+000   0.246133E-001
   0.360000E+000       -0.803381E-001  -0.275505E-001
   0.370000E+000       -0.232649E+000  -0.648368E-001
   0.380000E+000       -0.298358E+000  -0.360888E-001
   0.390000E+000       -0.204393E-002  -0.105173E-001
   0.400000E+000        0.348904E+000  -0.315070E-001
   0.410000E+000        0.216407E+000  -0.464573E-001
   0.420000E+000       -0.123815E+000  -0.481172E-001
   0.430000E+000       -0.386818E+000  -0.339306E-001
   0.440000E+000       -0.428056E+000   0.126188E-001
   0.450000E+000       -0.144901E+000   0.587742E-001
   0.460000E+000        0.234155E-001   0.428073E-001
   0.470000E+000        0.620598E-001   0.572722E-001
   0.480000E+000        0.188476E-001   0.111291E+000
   0.490000E+000       -0.148090E+000   0.114497E+000
   0.500000E+000       -0.175464E+000   0.476733E-001
   0.510000E+000       -0.106900E+000  -0.209460E-001
   0.520000E+000       -0.867436E-001   0.113753E-001
   0.530000E+000        0.460513E-001   0.333759E-001
   0.540000E+000        0.367982E+000  -0.105699E-001
   0.550000E+000        0.444009E+000  -0.305010E-002
   0.560000E+000        0.181200E+000   0.554874E-001
   0.570000E+000       -0.435290E-002   0.800429E-001
   0.580000E+000       -0.255683E-002   0.532405E-001
   0.590000E+000       -0.120637E+000   0.120581E-001
   0.600000E+000       -0.295890E+000  -0.722510E-002
   0.610000E+000       -0.368467E+000   0.488574E-001
   0.620000E+000       -0.259371E+000   0.126728E+000
   0.630000E+000        0.229943E-001   0.117344E+000
   0.640000E+000        0.229958E+000   0.967675E-001
   0.650000E+000        0.210811E+000   0.114668E+000
   0.660000E+000        0.130666E+000   0.129512E+000
   0.670000E+000        0.106823E+000   0.124881E+000
   0.680000E+000        0.133609E+000   0.106839E+000
   0.690000E+000        0.921120E-001   0.572901E-001
   0.700000E+000       -0.872745E-002   0.163243E-001
   0.710000E+000       -0.736592E-001   0.109807E-001
   0.720000E+000       -0.109558E+000   0.366288E-001
   0.730000E+000       -0.911398E-001   0.711551E-001
   0.740000E+000       -0.292846E-001   0.965617E-001
   0.750000E+000        0.335579E-002   0.100175E+000
   0.760000E+000        0.402328E-001   0.102585E+000
   0.770000E+000        0.103358E+000   0.116209E+000
   0.780000E+000        0.628991E-001   0.102477E+000
   0.790000E+000       -0.136160E-001   0.977685E-001
   0.800000E+000       -0.284100E-001   0.126245E+000
   0.810000E+000       -0.233371E-001   0.104724E+000
   0.820000E+000       -0.500170E-001   0.425336E-001
   0.830000E+000       -0.211812E-001   0.343298E-001
   0.840000E+000        0.162570E+000   0.927119E-002
   0.850000E+000        0.229118E+000  -0.411345E-001
   0.860000E+000        0.117663E+000  -0.503310E-001
   0.870000E+000        0.458704E-001  -0.463576E-001
   0.880000E+000        0.222590E-001  -0.540885E-002
   0.890000E+000        0.407032E-001   0.412507E-001
   0.900000E+000        0.404252E-001   0.177970E-001
   0.910000E+000       -0.292717E-002  -0.158719E-001
   0.920000E+000       -0.116327E-001   0.667369E-002
   0.930000E+000       -0.120116E-001   0.296371E-001
   0.940000E+000       -0.698822E-001   0.815041E-002
   0.950000E+000       -0.132727E+000  -0.156808E-001
   0.960000E+000       -0.120512E+000  -0.168270E-001
   0.970000E+000       -0.229049E-001  -0.671694E-002
   0.980000E+000       -0.156065E-001   0.692672E-002
   0.990000E+000       -0.444753E-001   0.305865E-001
   0.100000E+001        0.438468E-001   0.396540E-001
   0.101000E+001        0.991620E-001   0.314058E-001
   0.102000E+001        0.687769E-001   0.161819E-001
   0.103000E+001        0.127315E+000  -0.100932E-001
   0.104000E+001        0.214382E+000  -0.375850E-001
   0.105000E+001        0.166836E+000  -0.853824E-002
   0.106000E+001        0.362867E-001   0.355415E-001
   0.107000E+001        0.156998E-001   0.543786E-001
   0.108000E+001        0.577260E-001   0.861105E-001
   0.109000E+001        0.141044E-001   0.103461E+000
   0.110000E+001       -0.480351E-001   0.966758E-001
   0.111000E+001       -0.979861E-002   0.904404E-001
   0.112000E+001        0.534940E-001   0.806859E-001
   0.113000E+001        0.741073E-001   0.937158E-001
   0.114000E+001        0.742233E-001   0.100942E+000
   0.115000E+001        0.877757E-001   0.840760E-001
   0.116000E+001        0.108766E+000   0.586319E-001
   0.117000E+001        0.121502E+000   0.223638E-001
   0.118000E+001        0.751445E-001   0.562125E-002
   0.119000E+001       -0.136943E-002   0.203603E-001
   0.120000E+001       -0.528293E-001   0.419997E-001
   0.121000E+001       -0.119550E+000   0.480798E-001
   0.122000E+001       -0.168206E+000   0.491227E-001
   0.123000E+001       -0.108224E+000   0.522078E-001
   0.124000E+001       -0.152890E-001   0.424932E-001
   0.125000E+001        0.585994E-001   0.108008E-001
   0.126000E+001        0.142680E+000   0.580553E-002
   0.127000E+001        0.210532E+000   0.162019E-001
   0.128000E+001        0.215958E+000   0.315711E-001
   0.129000E+001        0.168442E+000   0.371780E-001
   0.130000E+001        0.116023E+000   0.252557E-001
   0.131000E+001        0.224678E-002   0.265332E-001
   0.132000E+001       -0.768935E-001   0.516884E-001
   0.133000E+001        0.407784E-003   0.707529E-001
   0.134000E+001        0.837871E-001   0.632572E-001
   0.135000E+001        0.558543E-001   0.500205E-001
   0.136000E+001        0.142684E-002   0.388375E-001
   0.137000E+001       -0.369565E-001   0.276296E-001
   0.138000E+001       -0.523269E-001   0.342009E-001
   0.139000E+001       -0.157950E-001   0.292698E-001
   0.140000E+001        0.289831E-001   0.247516E-001
   0.141000E+001        0.784171E-001   0.692960E-001
   0.142000E+001        0.104778E+000   0.106772E+000
   0.143000E+001        0.536658E-001   0.987052E-001
   0.144000E+001       -0.359278E-001   0.611220E-001
   0.145000E+001       -0.591362E-001   0.269229E-001
   0.146000E+001       -0.159561E-001   0.313955E-001
   0.147000E+001        0.314409E-001   0.439876E-001
   0.148000E+001        0.684555E-001   0.337704E-001
   0.149000E+001        0.525386E-001   0.217733E-001
   0.150000E+001       -0.120803E-001   0.339450E-001
   0.151000E+001       -0.536439E-001   0.694985E-001
   0.152000E+001       -0.613564E-001   0.790640E-001
   0.153000E+001        0.136470E-001   0.648980E-001
   0.154000E+001        0.139588E+000   0.851022E-001
   0.155000E+001        0.174847E+000   0.114975E+000
   0.156000E+001        0.959927E-001   0.868764E-001
   0.157000E+001        0.561403E-001   0.389760E-001
   0.158000E+001        0.649486E-001   0.329468E-001
   0.159000E+001        0.884678E-001   0.391024E-001
   0.160000E+001        0.744532E-001   0.291479E-001
   0.161000E+001       -0.149460E-001   0.376122E-001
   0.162000E+001       -0.490248E-001   0.638301E-001
   0.163000E+001        0.613202E-002   0.637408E-001
   0.164000E+001        0.178017E-001   0.512442E-001
   0.165000E+001       -0.186617E-001   0.552214E-001
   0.166000E+001       -0.587557E-001   0.394696E-001
   0.167000E+001       -0.765495E-001   0.181386E-001
   0.168000E+001       -0.341892E-001   0.212672E-001
   0.169000E+001       -0.199455E-001   0.283107E-001
   0.170000E+001       -0.606967E-001   0.384728E-001
   0.171000E+001       -0.972061E-001   0.566649E-001
   0.172000E+001       -0.697707E-001   0.606064E-001
   0.173000E+001        0.116168E-001   0.262173E-001
   0.174000E+001        0.103989E+000  -0.798916E-003
   0.175000E+001        0.151843E+000   0.235963E-001
   0.176000E+001        0.198224E+000   0.701080E-001
   0.177000E+001        0.210748E+000   0.928030E-001
   0.178000E+001        0.111873E+000   0.882136E-001
   0.179000E+001        0.975567E-002   0.596232E-001
   0.180000E+001       -0.358530E-001   0.333178E-001
   0.181000E+001       -0.999871E-001   0.319691E-001
   0.182000E+001       -0.130197E+000   0.681058E-001
   0.183000E+001       -0.408760E-001   0.104731E+000
   0.184000E+001        0.831518E-002   0.114718E+000
   0.185000E+001       -0.621400E-001   0.961203E-001
   0.186000E+001       -0.129397E+000   0.561094E-001
   0.187000E+001       -0.149346E+000   0.346546E-001
   0.188000E+001       -0.124797E+000   0.390139E-001
   0.189000E+001       -0.772259E-001   0.524577E-001
   0.190000E+001       -0.266754E-001   0.620772E-001
   0.191000E+001        0.101714E-001   0.633045E-001
   0.192000E+001       -0.444174E-001   0.386204E-001
   0.193000E+001       -0.118009E+000   0.114847E-001
   0.194000E+001       -0.127792E+000   0.204957E-001
   0.195000E+001       -0.654567E-001   0.326000E-001
   0.196000E+001        0.347181E-001   0.422194E-001
   0.197000E+001        0.406648E-001   0.617245E-001
   0.198000E+001       -0.143253E-001   0.707194E-001
   0.199000E+001       -0.902033E-002   0.659685E-001
   0.200000E+001        0.768661E-002   0.767230E-001
Friction component for    1   3
   0.000000E+000        0.162436E-002   0.000000E+000
   0.100000E-001       -0.865179E-003   0.365293E-002
   0.200000E-001       -0.150744E-001   0.163837E-001
   0.300000E-001       -0.301524E-001   0.234306E-001
   0.400000E-001       -0.157090E-001  -0.116807E-001
   0.500000E-001       -0.256879E-002   0.913325E-003
   0.600000E-001       -0.506225E-001   0.134623E+000
   0.700000E-001       -0.937981E-001   0.231397E+000
   0.800000E-001       -0.400514E-001   0.204117E+000
   0.900000E-001       -0.197477E-001   0.116386E+000
   0.100000E+000       -0.387067E-001   0.159806E+000
   0.110000E+000       -0.213001E-001   0.214681E+000
   0.120000E+000        0.681553E-002   0.183489E+000
   0.130000E+000       -0.107399E-001   0.328252E+000
   0.140000E+000       -0.505436E-001   0.517976E+000
   0.150000E+000       -0.324383E-001   0.582685E+000
   0.160000E+000       -0.229136E-001   0.568096E+000
   0.170000E+000       -0.930708E-001   0.375456E+000
   0.180000E+000       -0.154257E+000   0.143901E+000
   0.190000E+000       -0.130586E+000   0.941435E-001
   0.200000E+000       -0.512247E-001   0.326109E-001
   0.210000E+000        0.154122E-001  -0.282230E-001
   0.220000E+000        0.320895E-001  -0.358688E-001
   0.230000E+000       -0.387569E-002  -0.200399E+000
   0.240000E+000       -0.375242E-002  -0.263808E+000
   0.250000E+000        0.549646E-001   0.696970E-001
   0.260000E+000        0.476136E-001   0.338824E+000
   0.270000E+000        0.169967E-001   0.235920E+000
   0.280000E+000        0.653470E-001  -0.730195E-001
   0.290000E+000        0.985782E-001  -0.348102E+000
   0.300000E+000        0.628354E-001  -0.295736E+000
   0.310000E+000        0.386847E-002  -0.800274E-001
   0.320000E+000       -0.291896E-001  -0.485597E-001
   0.330000E+000       -0.212384E-001  -0.308104E-001
   0.340000E+000       -0.180738E-001   0.647157E-001
   0.350000E+000       -0.755826E-001   0.162877E+000
   0.360000E+000       -0.997702E-001   0.281034E+000
   0.370000E+000       -0.623535E-003   0.336190E+000
   0.380000E+000        0.838269E-001   0.307586E+000
   0.390000E+000        0.349660E-001   0.238276E+000
   0.400000E+000       -0.431885E-001   0.177494E+000
   0.410000E+000       -0.551237E-001   0.601799E-001
   0.420000E+000       -0.422284E-001  -0.928231E-001
   0.430000E+000       -0.151071E-001  -0.223771E+000
   0.440000E+000        0.236349E-001  -0.329567E+000
   0.450000E+000        0.197344E-001  -0.256287E+000
   0.460000E+000       -0.375578E-001   0.180353E-001
   0.470000E+000       -0.194085E-001   0.149389E+000
   0.480000E+000        0.807060E-001  -0.483782E-001
   0.490000E+000        0.119050E+000  -0.238577E+000
   0.500000E+000        0.917943E-001  -0.126389E+000
   0.510000E+000        0.338137E-001   0.168595E+000
   0.520000E+000       -0.384895E-001   0.298195E+000
   0.530000E+000       -0.102502E+000   0.133737E+000
   0.540000E+000       -0.124782E+000  -0.100027E+000
   0.550000E+000       -0.130916E+000  -0.182676E+000
   0.560000E+000       -0.103716E+000  -0.154647E+000
   0.570000E+000        0.252266E-002  -0.750276E-001
   0.580000E+000        0.112660E+000   0.157686E-001
   0.590000E+000        0.125330E+000   0.711433E-001
   0.600000E+000        0.681621E-001   0.102058E+000
   0.610000E+000       -0.173606E-001   0.136680E+000
   0.620000E+000       -0.780115E-001   0.175922E+000
   0.630000E+000       -0.781819E-001   0.120041E+000
   0.640000E+000       -0.914673E-001  -0.760247E-002
   0.650000E+000       -0.519254E-001  -0.548594E-001
   0.660000E+000        0.456132E-001   0.364137E-001
   0.670000E+000        0.976622E-001   0.171930E+000
   0.680000E+000        0.818026E-001   0.169694E+000
   0.690000E+000       -0.388092E-002  -0.143291E-002
   0.700000E+000       -0.636285E-001  -0.148730E+000
   0.710000E+000       -0.535093E-001  -0.173495E+000
   0.720000E+000        0.243208E-002  -0.126488E+000
   0.730000E+000        0.668828E-001  -0.753874E-001
   0.740000E+000        0.481387E-001  -0.682381E-001
   0.750000E+000       -0.164126E-002  -0.791891E-001
   0.760000E+000       -0.201824E-001  -0.114552E-001
   0.770000E+000       -0.188560E-001   0.107139E+000
